time/iterations,time/fps,time/time_elapsed,train/reward,time/total_timesteps,train/clip_range,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl
1,771,2,-0.035563212,2048,,,,,,,,,,,
2,738,5,-1.1437964,4096,0.2,0.9978427886962891,-0.003191319765755907,0.00025,0.12079358100891113,-12.761388802528382,10,0.011909902095794678,0.7514855889603496,0.073291015625,0.0075213755
3,740,8,-1.4193046,6144,0.2,0.9992234110832214,-0.004033159675600473,0.00025,12.349936485290527,-12.754297775030135,20,0.01801884174346924,15.187002685666084,0.028759765625,0.0056499853
4,738,11,-0.5666632,8192,0.2,1.0002771615982056,-0.006910279486328363,0.00025,1.200331687927246,-12.767196226119996,30,0.0012349486351013184,2.914722266793251,0.09482421875,0.006916331
5,723,14,-10.494095,10240,0.2,1.0012516975402832,-0.0037315737368771805,0.00025,17.47107696533203,-12.776320600509644,40,0.0006321072578430176,25.351779264211654,0.05078125,0.0051425095
6,656,18,-0.4057254,12288,0.2,1.001183032989502,-0.00639977679529693,0.00025,18.23308753967285,-12.779603922367096,50,0.011884033679962158,43.79714126586914,0.054052734375,0.007988201
7,654,21,0.25181705,14336,0.2,1.0032310485839844,-0.012538916274206714,0.00025,6.283329010009766,-12.787519550323486,60,0.01086115837097168,9.564221586287022,0.0685546875,0.009149859
8,662,24,2.582665,16384,0.2,1.0031152963638306,-0.00431568203784991,0.00025,21.7051944732666,-12.797571617364884,70,0.003572821617126465,57.124671614170076,0.030029296875,0.0059709484
9,669,27,0.8262193,18432,0.2,1.0053603649139404,-0.005114336739643477,0.00025,4.501336574554443,-12.804804331064224,80,0.04689544439315796,11.180108126997947,0.0390625,0.0063436152
10,675,30,1.9603534,20480,0.2,1.0084948539733887,-0.005058817192912101,0.00025,31.848445892333984,-12.82999233007431,90,0.03428959846496582,75.7450917005539,0.03115234375,0.00497374
11,680,33,-0.62830573,22528,0.2,1.008007526397705,-0.008069556340342388,0.00025,29.15044593811035,-12.84539548754692,100,0.021142542362213135,52.78321158885956,0.08525390625,0.009920031
12,684,35,0.16623873,24576,0.2,1.0067209005355835,-0.012237629471928812,0.00025,8.551036834716797,-12.836258119344711,110,0.012112319469451904,30.045272332429885,0.06044921875,0.007912544
13,687,38,2.8811083,26624,0.2,1.0069146156311035,-0.005399585026316345,0.00025,63.76933670043945,-12.829214125871658,120,0.05026012659072876,88.9815943479538,0.0431640625,0.007139289
14,691,41,1.054912,28672,0.2,1.0060372352600098,-0.00836253503075568,0.00025,4.4656081199646,-12.829802751541138,130,0.22250741720199585,10.381644102931023,0.10322265625,0.011437364
15,693,44,-4.5874734,30720,0.2,1.0068758726119995,-0.007270440319553017,0.00025,34.58303451538086,-12.826551800966262,140,0.08818650245666504,80.78589165210724,0.0603515625,0.009204574
16,695,47,0.15324588,32768,0.2,1.008981466293335,-0.005568708227656316,0.00025,34.18417739868164,-12.837735503911972,150,-0.045865535736083984,36.403168791532515,0.084521484375,0.009591479
17,697,49,0.6800251,34816,0.2,1.0121264457702637,-0.010817123508604708,0.00025,14.075839042663574,-12.85985506772995,160,0.16656529903411865,24.664089488983155,0.094873046875,0.010850161
18,699,52,5.461691,36864,0.2,1.0131819248199463,-0.006209216208662838,0.00025,21.855104446411133,-12.879902744293213,170,0.06390565633773804,66.19326272010804,0.086767578125,0.010748805
19,701,55,0.24988994,38912,0.2,1.015745997428894,-0.00646812200138811,0.00025,4.191371917724609,-12.899579417705535,180,0.2874925136566162,9.50272957086563,0.109716796875,0.012072526
20,702,58,-0.074332245,40960,0.2,1.015549659729004,-0.004314680480456445,0.00025,43.21955108642578,-12.911964929103851,190,0.11260932683944702,82.38482344150543,0.052099609375,0.008302186
21,703,61,-2.4982455,43008,0.2,1.0175708532333374,-0.008604222728172317,0.00025,48.10988235473633,-12.912304234504699,200,-0.0008535385131835938,57.17862951755524,0.085498046875,0.010938494
22,701,64,-0.30495012,45056,0.2,1.0185141563415527,-0.010741089851944708,0.00025,34.614830017089844,-12.929106873273849,210,0.07121384143829346,52.455530643463135,0.11396484375,0.010927055
23,703,66,0.44965228,47104,0.2,1.0192420482635498,-0.004234763777640182,0.00025,70.91170501708984,-12.938029986619949,220,0.06566286087036133,121.52510151863098,0.05537109375,0.006334714
24,703,69,0.7702407,49152,0.2,1.020665168762207,-0.005132554017473012,0.00025,5.852710723876953,-12.946626758575439,230,0.2888143062591553,10.245268815755844,0.102685546875,0.009815448
25,703,72,5.7660956,51200,0.2,1.0228744745254517,-0.0056243918545078484,0.00025,57.0230712890625,-12.959597635269166,240,0.13568413257598877,102.04101526737213,0.080419921875,0.010052765
