time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/reward,train/clip_range,train/std,train/learning_rate,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
2048,2065,0,1,-0.0013955729,,,,,,,,,,,
4096,1774,2,2,-0.0026397628,0.2,0.9954915046691895,0.00025,0.001158607486559049,0.5129128694534302,-0.005123064387589693,10,-2.8329554326832294,0.089697265625,-0.007669137764605693,0.0062028477
6144,1691,3,3,-0.009291783,0.2,0.998773992061615,0.00025,0.0043382756882238025,0.32431089878082275,-0.03262140974402428,20,-2.831351253390312,0.0064453125,9.855756288743578e-05,0.0014936433
8192,1666,4,4,0.02276341,0.2,0.9940820336341858,0.00025,0.0030954903324527548,0.667343258857727,-0.02144428715109825,30,-2.8309907667338847,0.031982421875,-0.0011036896248697303,0.0077333245
10240,1487,6,5,0.002359051,0.2,0.9817817211151123,0.00025,0.0030347321582667062,0.9109477996826172,-0.039168160408735275,40,-2.81005227714777,0.03466796875,-0.0019794075677054936,0.0047345012
12288,1444,8,6,0.0032794462,0.2,0.9696759581565857,0.00025,0.0035914139793021605,0.8364325761795044,-0.012011758983135223,50,-2.7879082381725313,0.018115234375,0.0021053855714853855,0.002054041
14336,1459,9,7,0.004412573,0.2,0.9747289419174194,0.00025,0.005238371961240773,0.8616862893104553,-0.03057870827615261,60,-2.780820745229721,0.05068359375,-0.0033698262530379,0.0057922336
16384,1470,11,8,0.06758759,0.2,0.974322497844696,0.00025,0.006659119215328246,0.8940833806991577,-0.015503895469009876,70,-2.7845950230956076,0.05322265625,-0.0010373083016020246,0.008419671
18432,1480,12,9,-0.010197272,0.2,0.9838838577270508,0.00025,0.006587982283963356,0.9273159503936768,-0.026774536818265915,80,-2.7946654140949247,0.04755859375,-0.0015376141309388913,0.0054779453
20480,1487,13,10,0.0012453864,0.2,0.994010865688324,0.00025,0.004546441567799775,0.9056463241577148,-0.03316464647650719,90,-2.815630181133747,0.01865234375,-0.002312057724338956,0.0030774237
22528,1491,15,11,0.0062651266,0.2,0.9898781776428223,0.00025,0.01303417593735503,0.887486457824707,-0.029495220631361008,100,-2.820118619501591,0.052734375,-0.003943307574081701,0.0061154068
24576,1497,16,12,-0.014738873,0.2,0.9927429556846619,0.00025,0.01738278869961505,0.8811134696006775,-0.03728041052818298,110,-2.8189952336251736,0.076611328125,-0.004963490669615567,0.007294141
26624,1502,17,13,0.010314381,0.2,0.9984594583511353,0.00025,0.008702620454278076,0.8527790307998657,-0.03243931755423546,120,-2.82907704487443,0.08857421875,-0.005895598421921023,0.008212282
28672,1506,19,14,-0.006588134,0.2,0.9940204620361328,0.00025,0.008823444445442873,0.906367301940918,-0.023541508242487907,130,-2.828556463122368,0.0712890625,-0.0028878788980364334,0.0050578834
30720,1510,20,15,0.0034453212,0.2,1.0012602806091309,0.00025,0.013803994352929293,0.9133006930351257,-0.010597224347293377,140,-2.8330921076238154,0.06513671875,-0.00356039087055251,0.004168422
32768,1513,21,16,-0.15303978,0.2,1.0041494369506836,0.00025,0.016206998575944452,0.7722181081771851,-0.033686697483062744,150,-2.8416213266551495,0.04267578125,2.912528652814217e-05,0.0047676805
34816,1502,23,17,-0.026766444,0.2,1.0008854866027832,0.00025,0.006515884628606727,0.8772740960121155,-0.015060622245073318,160,-2.8441952988505363,0.036474609375,0.0003878178016748279,0.005442172
36864,1505,24,18,0.012831899,0.2,0.9990328550338745,0.00025,0.011080898578074993,0.8563626408576965,-0.026069559156894684,170,-2.837927193194628,0.0794921875,-0.001006689107452985,0.005661045
38912,1507,25,19,-0.004940311,0.2,0.9980676174163818,0.00025,0.013807364011881873,0.8063686490058899,-0.03920292109251022,180,-2.8378672167658805,0.0669921875,-0.0009456977051740978,0.008446155
40960,1509,27,20,0.024214571,0.2,0.9981168508529663,0.00025,0.015900978048739488,0.5840883255004883,-0.02703748270869255,190,-2.832970601320267,0.079541015625,0.0042999460638384335,0.007848563
43008,1512,28,21,-0.056565713,0.2,1.0084781646728516,0.00025,0.005829119333793642,0.8632500171661377,-0.027727818116545677,200,-2.8436592988669873,0.043798828125,-0.002902078730403446,0.0049426463
45056,1509,29,22,-0.017240418,0.2,1.0150150060653687,0.00025,0.010041840318444883,0.737804114818573,-0.025769589468836784,210,-2.8608931422233583,0.049658203125,0.0023770081694237887,0.0081942845
47104,1511,31,23,-4.4793196e-05,0.2,1.0215089321136475,0.00025,0.015805594074481632,0.6002029180526733,-0.023305177688598633,220,-2.8744561210274697,0.046533203125,-0.0008283913375635166,0.0046252664
49152,1513,32,24,0.013670914,0.2,1.0306451320648193,0.00025,0.021205253861262464,0.141812264919281,-0.013309938833117485,230,-2.8897228203713894,0.037158203125,-0.0009169845514406915,0.005573334
51200,1515,33,25,-0.006683117,0.2,1.0409350395202637,0.00025,0.005853950473101577,0.8077509999275208,-0.020597778260707855,240,-2.909815253317356,0.05419921875,-0.004687152639962733,0.0043562115
53248,1516,35,26,-0.1167228,0.2,1.0312705039978027,0.00025,0.012148543166404124,0.6605120897293091,-0.010471871122717857,250,-2.9074288539588453,0.064111328125,0.0001279041200177744,0.004966334
55296,1518,36,27,-0.16401458,0.2,1.0404119491577148,0.00025,0.025208091088279615,0.5078524947166443,-0.033683985471725464,260,-2.9083476096391676,0.035986328125,-0.0003038072827621363,0.005083666
57344,1519,37,28,0.031274237,0.2,1.0487405061721802,0.00025,0.03342138180451002,0.2354414463043213,-0.012981913983821869,270,-2.9256452046334744,0.05458984375,-0.0011738404078641906,0.0065648025
59392,1520,39,29,0.033653557,0.2,1.055156946182251,0.00025,0.012167145025159698,0.7346307039260864,-0.030459098517894745,280,-2.9400025717914104,0.03984375,-0.0007094886932463851,0.0044909664
61440,1521,40,30,-0.0079949405,0.2,1.0539897680282593,0.00025,0.02154582588991616,0.6643896102905273,-0.016930250450968742,290,-2.946276405453682,0.052294921875,-0.004641151140094735,0.0058905985
63488,1523,41,31,0.14133058,0.2,1.051642894744873,0.00025,0.03751232483773492,0.5585421323776245,0.002814430743455887,300,-2.9411476008594035,0.06025390625,-0.003036100996541791,0.0065297857
65536,1524,42,32,-0.109467335,0.2,1.0427067279815674,0.00025,0.0336641911737388,0.15391647815704346,-0.008349857293069363,310,-2.929543092101812,0.035107421875,-3.489311930024996e-05,0.004955612
67584,1525,44,33,0.04258615,0.2,1.0313575267791748,0.00025,0.022087323511368596,0.5461686849594116,-0.031998857855796814,320,-2.9102225936949253,0.046533203125,-0.0036407887993846087,0.005756377
69632,1523,45,34,0.003046231,0.2,1.0275382995605469,0.00025,0.04606602240237408,0.31330835819244385,0.0032156705856323242,330,-2.896203528344631,0.038623046875,0.0004060464954818599,0.0042686374
71680,1517,47,35,0.3550928,0.2,1.033771276473999,0.00025,0.03974274875945412,0.5387365818023682,-0.02024601399898529,340,-2.8980536065995692,0.031494140625,-0.0018226125815999695,0.004526737
73728,1518,48,36,-0.072399706,0.2,1.0260065793991089,0.00025,0.03296789253363386,0.2942430377006531,-0.04959104210138321,350,-2.8954159513115885,0.035400390625,-0.0028412260493496434,0.004320521
75776,1518,49,37,-0.023998557,0.2,1.0318260192871094,0.00025,0.030006579746259376,0.46084558963775635,-0.018973784521222115,360,-2.895237347483635,0.03427734375,-0.0007836549026251305,0.004761899
77824,1519,51,38,0.0013325805,0.2,1.0367581844329834,0.00025,0.034645293786888944,0.5635353326797485,0.017681613564491272,370,-2.905442138016224,0.050537109375,-0.002489529605372809,0.0066146487
79872,1520,52,39,-0.07405095,0.2,1.0351617336273193,0.00025,0.03790147751569748,0.5522778034210205,-0.03280053660273552,380,-2.906943053007126,0.03125,-0.0024191615433664993,0.005120674
81920,1521,53,40,-0.004845827,0.2,1.031739592552185,0.00025,0.014564207318471745,0.7411468029022217,-0.028477318584918976,390,-2.9016330644488333,0.05185546875,-0.004977088319719769,0.005011649
