time/time_elapsed,time/total_timesteps,train/reward,time/iterations,time/fps,train/n_updates,train/clip_range,train/approx_kl,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/loss
0,2048,-0.016435785,1,3218,,,,,,,,,,,
1,4096,0.6596673,2,2635,10,0.2,0.0054206424,1.0020805597305298,0.044482421875,0.0,-1.420815995335579,0.08144919187761843,-0.0031879677713732234,0.00025,0.026420466601848602
2,6144,-2.12345,3,2585,20,0.2,0.0029287382,1.0044913291931152,0.027197265625,0.07302099466323853,-1.422846830636263,1.6546709038317204,-0.002277320064604282,0.00025,0.7781393527984619
3,8192,-0.6913101,4,2536,30,0.2,0.0032818206,1.003702998161316,0.00947265625,0.0474051833152771,-1.423002290725708,9.690813356637955,-0.0007032508176052943,0.00025,5.147373199462891
4,10240,0.107810244,5,2509,40,0.2,0.0004760196,1.0004960298538208,0.0,0.047399818897247314,-1.4211712025105954,14.593811768293381,-0.00033758511417545376,0.00025,4.889461994171143
5,12288,0.34862882,6,2180,50,0.2,0.00041467813,1.0030437707901,0.0,0.025568604469299316,-1.4203816950321198,16.58582013249397,-0.00038887186965439466,0.00025,8.040164947509766
6,14336,2.724813,7,2100,60,0.2,0.0044602198,0.9956851601600647,0.010693359375,0.10265851020812988,-1.4190673634409905,10.072694525122643,-0.0010202133693383076,0.00025,5.40222692489624
8,16384,1.0864242,8,2043,70,0.2,0.0031210198,0.9943403601646423,0.01572265625,0.07870268821716309,-1.4134040378034114,16.163001596927643,-0.0022847843036288397,0.00025,8.374258041381836
9,18432,-1.4503899,9,2045,80,0.2,0.0019330343,0.9943629503250122,0.016943359375,0.05893051624298096,-1.4134626410901547,18.166877144575118,-0.0027398834499763325,0.00025,11.248398780822754
9,20480,2.9134645,10,2069,90,0.2,0.004579934,0.9898680448532104,0.03447265625,0.04684853553771973,-1.4116921558976174,21.02040485739708,-0.0029779169606626967,0.00025,10.961997985839844
10,22528,1.2798424,11,2106,100,0.2,0.003107664,0.9915489554405212,0.017919921875,0.06964367628097534,-1.4104658544063569,19.79477463364601,-0.0015605742810294032,0.00025,9.60505199432373
11,24576,0.6951066,12,2125,110,0.2,0.002575058,0.9912484288215637,0.01083984375,3.0338764190673828e-05,-1.4107217393815517,15.49080994129181,-0.0007157298678066581,0.00025,8.237194061279297
12,26624,-0.28516215,13,2154,120,0.2,0.0043724906,0.9930388331413269,0.064599609375,0.07640182971954346,-1.4113657377660274,16.94746103286743,-0.004057145258411765,0.00025,6.090668201446533
13,28672,1.7868861,14,2158,130,0.2,0.0021176399,0.9976648092269897,0.00380859375,0.08876889944076538,-1.414603903144598,16.22324326634407,-0.0012167080873041413,0.00025,7.2126970291137695
14,30720,0.8094435,15,2181,140,0.2,0.001262408,1.009334921836853,0.012255859375,0.038178324699401855,-1.4230879805982113,20.68252363204956,-0.0016917168744839729,0.00025,10.073092460632324
14,32768,0.1432576,16,2202,150,0.2,0.0049779806,1.0070139169692993,0.012451171875,0.06465649604797363,-1.4268635474145412,20.441407108306883,-0.0012570757637149655,0.00025,9.508344650268555
15,34816,1.116421,17,2216,160,0.2,0.0023436842,1.0037645101547241,0.046923828125,0.027186870574951172,-1.4241380088031292,21.353332298994065,-0.003374383063055575,0.00025,7.996718883514404
16,36864,2.8733141,18,2204,170,0.2,0.0033413325,0.993930459022522,0.0154296875,0.07101351022720337,-1.4182350970804691,14.171445310115814,-0.0017723519616993145,0.00025,6.754819869995117
17,38912,0.28775263,19,2210,180,0.2,0.005075629,0.9932528138160706,0.035546875,0.0469590425491333,-1.4128930956125259,19.322464764118195,-0.0028692743682768194,0.00025,11.394071578979492
18,40960,2.4832382,20,2220,190,0.2,0.0036517538,0.9982150197029114,0.02470703125,0.030254006385803223,-1.4158384650945663,22.58186485171318,-0.0032796850748127325,0.00025,8.743973731994629
19,43008,0.2930318,21,2235,200,0.2,0.0034242112,0.9983601570129395,0.016162109375,0.019845128059387207,-1.417164857685566,23.408428919315337,-0.0018420324689941482,0.00025,11.159759521484375
20,45056,-3.4167228,22,2249,210,0.2,0.0036165356,1.0054519176483154,0.01591796875,0.028405725955963135,-1.421045883744955,22.30992665886879,-0.0022091922408435495,0.00025,7.934932231903076
21,47104,-0.11862903,23,2238,220,0.2,0.0050656796,1.0088605880737305,0.020458984375,0.008893251419067383,-1.4267111867666245,15.1057044506073,-0.0018271628141519614,0.00025,8.428112983703613
21,49152,0.18265234,24,2250,230,0.2,0.0030931616,1.0038371086120605,0.031396484375,0.038700759410858154,-1.4257768034934997,19.52618176341057,-0.0033783364400733263,0.00025,4.939359188079834
22,51200,3.3982582,25,2250,240,0.2,0.002788498,1.0080808401107788,0.01708984375,0.056855082511901855,-1.4255267418920994,16.804732251167298,-0.00014887186698615552,0.00025,8.863323211669922
